localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,cp
6427010005,ISIDRO CASANOVA,6,BUENOS AIRES,427,LA MATANZA,10,5,1765
30070040000,LA PAZ,30,ENTRE RÍOS,70,LA PAZ,40,0,3190
14182270000,VIAMONTE,14,CÓRDOBA,182,UNIÓN,270,0,2671
2003010002,SAN CRISTOBAL,2,CABA,3,COMUNA 3,10,2,1219
14021230000,RIO CEBALLOS,14,CÓRDOBA,21,COLÓN,230,0,5111
14126110000,NONO,14,CÓRDOBA,126,SAN ALBERTO,110,0,5887
14007000055,SAN FRANCISCO,14,CÓRDOBA,7,CALAMUCHITA,0,0,5199
90042010000,JUAN BAUTISTA ALBERDI,90,TUCUMÁN,42,JUAN BAUTISTA ALBERDI,10,0,4158
6427010010,SAN JUSTO,6,BUENOS AIRES,427,LA MATANZA,10,10,1754
6189040000,EL PERDIDO,6,BUENOS AIRES,189,CORONEL DORREGO,40,0,8156
30113080000,VILLAGUAY,30,ENTRE RÍOS,113,VILLAGUAY,80,0,3240
14140220000,FREYRE,14,CÓRDOBA,140,SAN JUSTO,220,0,2413
14042170000,VILLA MARIA,14,CÓRDOBA,42,GENERAL SAN MARTÍN,170,0,5900
14133200000,VILLA DOLORES,14,CÓRDOBA,133,SAN JAVIER,200,0,5870
6574030000,NAVARRO,6,BUENOS AIRES,574,NAVARRO,30,0,6605
6658010007,QUILMES OESTE,6,BUENOS AIRES,658,QUILMES,10,7,1878
6568010001,CASTELAR,6,BUENOS AIRES,568,MORÓN,10,1,1712
6441030013,JOSE MELCHOR ROMERO,6,BUENOS AIRES,441,LA PLATA,30,13,1903
6260010004,MONTE GRANDE,6,BUENOS AIRES,260,ESTEBAN ECHEVERRÍA,10,4,1842
6721010000,QUENUMA,6,BUENOS AIRES,721,SALLIQUELÓ,10,0,6335
78021040000,RIO GALLEGOS,78,SANTA CRUZ,21,GÜER AIKE,40,0,9400
6760010001,BELLA VISTA,6,BUENOS AIRES,760,SAN MIGUEL,10,1,1661
14119010000,CALCHIN,14,CÓRDOBA,119,RÍO SEGUNDO,10,0,5969
14161090000,LAS PERDICES,14,CÓRDOBA,161,TERCERO ARRIBA,90,0,5921
14028050000,CRUZ DEL EJE,14,CÓRDOBA,28,CRUZ DEL EJE,50,0,5280
6357080000,CHAPADMALAL,6,BUENOS AIRES,357,GENERAL PUEYRREDÓN,80,0,7605
30035030000,FEDERAL,30,ENTRE RÍOS,35,FEDERAL,30,0,3180
42105030000,GENERAL PICO,42,LA PAMPA,105,MARACÓ,30,0,6360
14098150000,LAS ACEQUIAS,14,CÓRDOBA,98,RÍO CUARTO,150,0,5848
6126030000,CAMPANA,6,BUENOS AIRES,126,CAMPANA,30,0,2804
6497060000,LUJAN,6,BUENOS AIRES,497,LUJÁN,60,0,6700
6412010002,JOSE C. PAZ,6,BUENOS AIRES,412,JOSÉ C. PAZ,10,2,3044
2007010001,FLORES,2,CABA,7,COMUNA 7,10,1,1406
2012010002,SAAVEDRA,2,CABA,12,COMUNA 12,10,2,1430
2006010001,CABALLITO,2,CABA,6,COMUNA 6,10,1,1406
6602050000,JUAN A. PRADERE,6,BUENOS AIRES,602,PATAGONES,50,0,8142
66056110000,GENERAL MOSCONI,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,110,0,4562
14021150000,LA CALERA,14,CÓRDOBA,21,COLÓN,150,0,5151
30049040000,GUALEGUAY,30,ENTRE RÍOS,49,GUALEGUAY,40,0,2840
30084100000,HASENKAMP,30,ENTRE RÍOS,84,PARANÁ,100,0,3134
66126070000,SAN RAMON DE LA NUEVA ORAN,66,SALTA,126,ORÁN,70,0,4530
6270010002,CANNING,6,BUENOS AIRES,270,EZEIZA,10,2,1804
2004010003,NUEVA POMPEYA,2,CABA,4,COMUNA 4,10,3,1437
2004010001,BARRACAS,2,CABA,4,COMUNA 4,10,1,1280
2001010006,SAN TELMO,2,CABA,1,COMUNA 1,10,6,1141
66028060000,VILLA SAN LORENZO,66,SALTA,28,CAPITAL,60,0,4401
14098170000,LAS HIGUERAS,14,CÓRDOBA,98,RÍO CUARTO,170,0,5805
6098010004,BERISSO,6,BUENOS AIRES,98,BERISSO,10,4,1923
30084160000,PARANA,30,ENTRE RÍOS,84,PARANÁ,160,0,3100
66007060000,EL QUEBRACHAL,66,SALTA,7,ANTA,60,0,4452
90091050000,SIMOCA,90,TUCUMÁN,91,SIMOCA,50,0,4172
14168090000,SARMIENTO,14,CÓRDOBA,168,TOTORAL,90,0,5212
6210020000,CHACABUCO,6,BUENOS AIRES,210,CHACABUCO,20,0,6740
14182100000,CINTRA,14,CÓRDOBA,182,UNIÓN,100,0,2559
6778020002,SAN VICENTE,6,BUENOS AIRES,778,SAN VICENTE,20,2,1865
2014010001,PALERMO,2,CABA,14,COMUNA 14,10,1,1425
2001010004,RETIRO,2,CABA,1,COMUNA 1,10,4,1003
2012010001,COGHLAN,2,CABA,12,COMUNA 12,10,1,1430
30015060002,CONCORDIA,30,ENTRE RÍOS,15,CONCORDIA,60,2,3200
14182060000,BELL VILLE,14,CÓRDOBA,182,UNIÓN,60,0,2550
66112040000,SAN JOSE DE METAN,66,SALTA,112,METÁN,40,0,4434
6413010000,AGUSTIN ROCA,6,BUENOS AIRES,413,JUNÍN,10,0,6001
6252010007,MAQUINISTA F. SAVIO ESTE,6,BUENOS AIRES,252,ESCOBAR,10,7,1619
6427010012,20 DE JUNIO,6,BUENOS AIRES,427,LA MATANZA,10,12,1761
30063030000,IBICUY,30,ENTRE RÍOS,63,ISLAS DEL IBICUY,30,0,2846
