localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,cp,domicilio,longitud,latitud
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,SEGUI JUAN FRANCISCO BV 5203,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,CASIANO CASAS 1502,-60.70412519,-32.90184214
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,DUARTE DE PERON EVA AV 4997,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,DE ROSAS JUAN MANUEL 2448,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,PASO JUAN JOSE 5669,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,TUCUMAN 7607,-60.72493294,-32.93287501
2000010000,CIUDAD DE BUENOS AIRES,2,CABA,0,COMUNA 1,10,0,1428,CABILDO 2363,-58.45001221,-34.59930238
2000010000,CIUDAD DE BUENOS AIRES,2,CABA,0,COMUNA 1,10,0,1085,AV DE MAYO 1302,-58.45001221,-34.59930238
86119120000,TINTINA,86,SANTIAGO DEL ESTERO,119,MORENO,120,0,3743,SAAVEDRA S/N,-64.2458219,-27.7958672
86063040000,FRIAS,86,SANTIAGO DEL ESTERO,63,CHOYA,40,0,4230,SAN MARTIN SUR 210,-65.131169,-28.6400191
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,PROVINCIAS UNIDAS AV 864,-60.71285078,-32.93763432
10091150000,SANTA MARIA,10,CATAMARCA,91,SANTA MARÍA,150,0,4139,Fray Mamerto Esquiu y Tomas de la Quintana,-66.04742289,-26.70365705
42105030000,GENERAL PICO,42,LA PAMPA,105,MARACÓ,30,0,6360,CALLE 319 Nº 352,-63.7982889,-35.6628149
74035070000,VILLA MERCEDES,74,SAN LUIS,35,GENERAL PEDERNERA,70,0,5730,PEDERNERA Nº 990,-66.3379822,-33.3003593
