establecimiento_nombre,localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,tipologia_id,tipologia_sigla,cp,domicilio,sitio_web,longitud,latitud
RABOZZI,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,LEIVA 6007,,-60.63778057,-33.00604529
ROUVIERE,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,MATIENZO 2350,,-60.69408562,-32.95581175
ROATTA,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,MENDOZA AV 3989,,,
RIDAO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,MORENO MARIANO BIS 40,,,
REYNA,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,LAGOS OVIDIO AV 2794,,-60.66701236,-32.96585692
RICCOBENE,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,LAGOS OVIDIO BIS AV 52,,-60.65896247,-32.93230025
RUPEL,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,SALTA AV 3079,,-60.66340609,-32.93459695
RINCIC,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,SAN NICOLAS 3302,,-60.67971027,-32.96952467
ROSSI,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,SANTA FE 7101,,-60.71752325,-32.93582073
R. MOREALE,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,SORRENTO AV 1072,,-60.69374866,-32.90724917
SILVIA BARATO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,ALSINA 1398,,-60.67830726,-32.9469675
SAENZ PEA,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,ARIJON AV 702,,-60.64496801,-33.00289474
SANDILO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,ARIJON AV 1899,,-60.66053138,-33.00336214
SAN JORGE,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,PELLEGRINI CARLOS AV 809,,,
SAN JOSE,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,PELLEGRINI CARLOS AV 1395,,,
SANTAMBROSIO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,URIBURU JOSE EVARISTO PRES AV 721,,,
SANTA RITA,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,BIEDMA CNL 3317,,,
SAN CAYETANO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,BUENOS AIRES 2556,,-60.63786471,-32.96803463
MARINCIONI,82014110000,LOS QUIRQUINCHOS,82,SANTA FE,14,CASEROS,110,70,FARMACIA,2637,MITRE 601,,-61.71465105,-33.37921097
BARTOLOME,82014110000,LOS QUIRQUINCHOS,82,SANTA FE,14,CASEROS,110,70,FARMACIA,2637,RIVADAVIA 515,,-61.71137486,-33.37813374
PRIOTTI,82014110000,LOS QUIRQUINCHOS,82,SANTA FE,14,CASEROS,110,70,FARMACIA,2637,SAN MARTIN 501,,-61.71252183,-33.37760919
NOVA FARM,82056000031,LUCIO V. LOPEZ,82,SANTA FE,56,IRIONDO,0,70,FARMACIA,2142,SAN MARTIN 387,,-61.02348586,-32.71267377
TURRI,82119070000,LUIS PALACIOS,82,SANTA FE,119,SAN LORENZO,70,70,FARMACIA,2142,RUCCI 845,,,
KARKOVICH,82042170000,MAGGIOLO,82,SANTA FE,42,GENERAL LÓPEZ,170,70,FARMACIA,2622,PADRE BADIA 478,,-62.24582994,-33.72174068
VARELA,82042180000,MARIA TERESA,82,SANTA FE,42,GENERAL LÓPEZ,180,70,FARMACIA,2609,AV.ALVEAR 753,,,
GOYECHEA,82042180000,MARIA TERESA,82,SANTA FE,42,GENERAL LÓPEZ,180,70,FARMACIA,2609,SAN MARTIN 356,,-61.90965942,-34.00857644
DEL VALLE,82042180000,MARIA TERESA,82,SANTA FE,42,GENERAL LÓPEZ,180,70,FARMACIA,2609,URQUIZA 257,,-61.91490179,-34.01195676
JAUREGUI,82028140000,MAXIMO PAZ,82,SANTA FE,28,CONSTITUCIÓN,140,70,FARMACIA,2115,CHACABUCO 242,,-60.95277086,-33.48301772
SVETATZ,82028140000,MAXIMO PAZ,82,SANTA FE,28,CONSTITUCIÓN,140,70,FARMACIA,2115,FALUCHO 853,,-60.95837518,-33.48375072
LINGIARDI STELLA M.,82028140000,MAXIMO PAZ,82,SANTA FE,28,CONSTITUCIÓN,140,70,FARMACIA,2115,ITUZAINGO 501,,-60.95713161,-33.48269562
ROSELLO,82028140000,MAXIMO PAZ,82,SANTA FE,28,CONSTITUCIÓN,140,70,FARMACIA,2115,MAIPU 1007,,-60.95470241,-33.48497276
FERLONI,82042190000,MELINCUE,82,SANTA FE,42,GENERAL LÓPEZ,190,70,FARMACIA,2728,MORERO 205,,-61.45737456,-33.65802402
DI MELLA,82042190000,MELINCUE,82,SANTA FE,42,GENERAL LÓPEZ,190,70,FARMACIA,2728,SAN MARTIN 247,,-61.45537681,-33.65800801
RUGGERI,82007050000,MONTES DE OCA,82,SANTA FE,7,BELGRANO,50,70,FARMACIA,2521,MENDOZA 641,,-61.76702535,-32.56716863
GRASSO,82007050000,MONTES DE OCA,82,SANTA FE,7,BELGRANO,50,70,FARMACIA,2521,SAN MARTIN 718,,-61.76864376,-32.56779678
LORANDINI,82007050000,MONTES DE OCA,82,SANTA FE,7,BELGRANO,50,70,FARMACIA,2521,SARMIENTO  324,,-61.77198935,-32.56575868
PLACCI,82119160000,VILLA MUGUETA,82,SANTA FE,119,SAN LORENZO,160,70,FARMACIA,2175,9 DE JULIO 257,,-61.05529383,-33.31152645
RASTELLI,82119160000,VILLA MUGUETA,82,SANTA FE,119,SAN LORENZO,160,70,FARMACIA,2175,SAN MARTIN 555,,-61.05727593,-33.31186298
DICIANO,82042210000,MURPHY,82,SANTA FE,42,GENERAL LÓPEZ,210,70,FARMACIA,2601,AVDA. GUEMES 411,,,
BARACCO,82042210000,MURPHY,82,SANTA FE,42,GENERAL LÓPEZ,210,70,FARMACIA,2601,FELIX BARACCO 444,,-61.86010132,-33.64327628
CASTELLI,82042210000,MURPHY,82,SANTA FE,42,GENERAL LÓPEZ,210,70,FARMACIA,2601,GUEMES 166,,-61.85455055,-33.6440786
DESABATO,82042210000,MURPHY,82,SANTA FE,42,GENERAL LÓPEZ,210,70,FARMACIA,2601,SAAVEDRA 224,,-61.85687609,-33.64480307
KURTH,82042210000,MURPHY,82,SANTA FE,42,GENERAL LÓPEZ,210,70,FARMACIA,2601,SAN MARTIN 411,,-61.85873163,-33.64295436
RASPO,82056100000,OLIVEROS,82,SANTA FE,56,IRIONDO,100,70,FARMACIA,2206,BUENOS AIRES 376,,-60.85086338,-32.57476108
MOSCOVICH,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,70,FARMACIA,5000,Octavio Pinto 2905,,-64.2180493,-31.3869021
GENESIS,70028010000,SAN JUAN,70,SAN JUAN,28,CAPITAL,10,70,FARMACIA,5400,santiago del estero sur 684,,-68.5324198,-31.54332094
SDRIGOTTI,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,RONDEAU BV 2398,,-60.69376693,-32.89069107
STIEFEL REANO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,RONDEAU BV 1642,,-60.69159026,-32.89782177
SANTINO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,CALLAO 699,,-60.6597583,-32.94114292
STRIEBECK,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,CORDOBA 2719,,-60.66035635,-32.94244229
SANTA ROSA,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,ITALIA 2707,,-60.65351655,-32.96708514
SAGRIPANTI,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,JUJUY 2248,,-60.65197228,-32.93540634
SIMONETTI,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,LA PAZ 1196,,-60.64399934,-32.96391587
SOCIAL,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,MENDOZA AV 6573,,,
SOLDANO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,MENDOZA AV 5151,,,
SALK,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,PROVINCIAS UNIDAS AV 642,,-60.7129598,-32.93504232
STRELUK,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,PROVINCIAS UNIDAS AV 2398,,-60.7119921,-32.95688313
SARTOR,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,RIOJA 1909,,-60.64962997,-32.94556021
SAN JUAN,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,SAN JUAN 1784,,-60.64862044,-32.9484435
SAN LUIS,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,SAN LUIS 1095,,-60.63880627,-32.94902777
S. SOLARI,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,SE SAN MARTIN JOSE GRL AV 3701,,,
SOLARI,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,Avenida San Martín 5602,,-60.649338,-33.0020169
SUIZA,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,SARMIENTO DOMINGO FAUSTINO PRES 865,,,
SAN MARTINO,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,SORRENTO AV 774,,-60.68987715,-32.90714665
S. RODRIGUEZ,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,TUCUMAN 7782,,-60.72924479,-32.93298893
SALTA,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,DE URQUIZA JUSTO JOSE 3299,,,
SCHINDLER,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,DE URQUIZA JUSTO JOSE 1990,,,
SANTA ROSA,82056100000,OLIVEROS,82,SANTA FE,56,IRIONDO,100,70,FARMACIA,2206,Buenos Aires 251,,-60.85131347,-32.57289085
CHINELLATO,82056100000,OLIVEROS,82,SANTA FE,56,IRIONDO,100,70,FARMACIA,2206,SANTA FE  349,,-60.85190748,-32.57470717
LEONE,82028150000,PAVON,82,SANTA FE,28,CONSTITUCIÓN,150,70,FARMACIA,2918,CORRIENTES 326,,-60.40437669,-33.241775
PACIARONI,82028160000,PAVON ARRIBA,82,SANTA FE,28,CONSTITUCIÓN,160,70,FARMACIA,2109,BUENOS AIRES 1081,,-60.82451903,-33.3101877
BARTOLACCI,82084210000,PEREZ,82,SANTA FE,84,ROSARIO,210,70,FARMACIA,2121,1° DE MAYO 2346,,-60.78098448,-33.0016185
GUALTIERI,82084210000,PEREZ,82,SANTA FE,84,ROSARIO,210,70,FARMACIA,2121,9 DE JULIO 1403,,-60.76779561,-33.00078419
TASSELLI,82084210000,PEREZ,82,SANTA FE,84,ROSARIO,210,70,FARMACIA,2121,9 DE JULIO 762,,-60.77202778,-32.99487973
CICCONOFRI,82084210000,PEREZ,82,SANTA FE,84,ROSARIO,210,70,FARMACIA,2121,B. MITRE  846,,,
NAZARET,82084210000,PEREZ,82,SANTA FE,84,ROSARIO,210,70,FARMACIA,2121,DR. BORZONE 1614,,-60.76770458,-33.00298089
CARLOS ORIOL,82084210000,PEREZ,82,SANTA FE,84,ROSARIO,210,70,FARMACIA,2121,EL JILGUERO 124,,-60.73389268,-32.96926211
GAMBOSO,82084210000,PEREZ,82,SANTA FE,84,ROSARIO,210,70,FARMACIA,2121,ESTANISLAO LOPEZ 1154,,-60.76477431,-32.99627767
ALVAREZ LOISA,82084210000,PEREZ,82,SANTA FE,84,ROSARIO,210,70,FARMACIA,2121,IRIGOYEN 1898,,-60.77746724,-32.99600744
